Date,Portfolio_Value
2011-12-13,41845.71544719073
2011-12-14,42291.20823252855
2011-12-15,42138.35681456968
2011-12-16,42341.84044953938
2011-12-19,42794.54538073767
2011-12-20,41499.573685784766
2011-12-21,41419.20656172612
2011-12-22,41052.28115931089
2011-12-23,40685.24551711062
2011-12-27,40653.05527617612
2011-12-28,41186.568374116294
2011-12-29,40760.94413953639
2011-12-30,40961.32302763116
2012-01-03,40308.55293954142
2012-01-04,40245.32383689115
2012-01-05,40138.17105611948
2012-01-06,40241.61995059402
2012-01-09,40143.9384676664
2012-01-10,39795.8696370219
2012-01-11,39774.29671922904
2012-01-12,39678.86303515039
2012-01-13,39884.13551012182
2012-01-17,39729.35386036195
2012-01-18,39290.10091448043
2012-01-19,39082.7890720778
2012-01-20,38937.113074471556
2012-01-23,39037.443642454266
2012-01-24,39081.93582805086
2012-01-25,38754.91521789678
2012-01-26,38953.71834363735
2012-01-27,38971.4406904725
2012-01-30,39104.479290917894
2012-01-31,39119.36262778739
2012-02-01,39461.94004952023
2012-02-02,39524.49766566274
2012-02-03,40078.57940863932
2012-02-06,40051.7690017211
2012-02-07,40153.05276118993
2012-02-08,40272.210125270925
2012-02-09,40322.85200500534
2012-02-10,40024.95859480288
2012-02-13,40322.85200500535
2012-02-14,40272.21012527093
2012-02-15,40084.53727684338
2012-02-16,40528.39845804505
2012-02-17,40635.64008571793
2012-02-21,40653.51369033008
2012-02-22,40522.440589841004
2012-02-23,40701.17663596248
2012-02-24,40790.544659023224
2012-02-27,40859.06014336979
2012-02-28,40978.21750745078
2012-02-29,40817.355065941454
2012-03-01,41028.85938718519
2012-03-02,40903.74415490017
2012-03-05,40736.923845186786
2012-03-06,40141.137024781856
2012-03-07,40421.15683037217
2012-03-08,40823.31293414549
2012-03-09,40981.1964415528
2012-03-12,40984.17537565482
2012-03-13,41722.95103295693
2012-03-14,41678.26702142656
2012-03-15,41919.56068369056
2012-03-16,41794.445451405525
2012-03-19,41958.28682701687
2012-03-20,41836.15052883386
2012-03-21,41767.635044487295
2012-03-22,41466.7627001828
2012-03-23,41600.814734773914
2012-03-26,42184.68581877074
2012-03-27,42053.61271828165
2012-03-28,41845.087331139934
2012-03-29,41773.59291269134
2012-03-30,41946.37109060878
2012-04-02,42253.20130311732
2012-04-03,42080.423125199886
2012-04-04,41663.37235091644
2012-04-05,41642.51981220226
2012-04-09,41174.82715818439
2012-04-10,40483.71444651468
2012-04-11,40811.39719773739
2012-04-12,41344.62640199978
2012-04-13,40853.102275165715
2012-04-16,40826.2918682475
2012-04-17,41431.015490958496
2012-04-18,41291.00558816334
2012-04-19,41025.88045308314
2012-04-20,41094.39593742971
2012-04-23,40748.83958159486
2012-04-24,40903.744154900145
2012-04-25,41463.78376608078
2012-04-26,41752.74037397716
2012-04-27,41821.25585832372
2012-04-30,41666.35128501845
2012-05-01,41925.518551894595
2012-05-02,41800.403319609555
2012-05-03,41481.65737069293
2012-05-04,40811.39719773739
2012-05-07,40841.186538757625
2012-05-08,40677.345163146274
2012-05-09,40436.05150088228
2012-05-10,40519.46165573897
2012-05-11,40397.325357555965
2012-05-14,39950.48524225227
2012-05-15,39721.107316396374
2012-05-16,39569.18167719312
2012-05-17,38982.33165909426
2012-05-18,38648.69103966751
2012-05-21,39312.99334441899
2012-05-22,39381.50882876555
2012-05-23,39402.36136747974
2012-05-24,39479.81365413238
2012-05-25,39351.71948774531
2012-05-29,39828.34894406924
2012-05-30,39250.43572827647
2012-05-31,39164.046639317756
2012-06-01,38178.0194515476
2012-06-04,38160.145846935455
2012-06-05,38449.10245483185
2012-06-06,39312.99334441899
2012-06-07,39336.82481723519
2012-06-08,39649.61289794777
2012-06-11,39146.17303470561
2012-06-12,39595.99208411133
2012-06-13,39342.78268543923
2012-06-14,39759.833459722686
2012-06-15,39959.422044558334
2012-06-18,40036.87433121098
2012-06-19,40424.13576447417
2012-06-20,40358.59921422964
2012-06-21,39453.003247214154
2012-06-22,39756.85452562067
2012-06-25,39119.3626277874
2012-06-26,39315.97227852102
2012-06-27,39670.46543666196
2012-06-28,39557.265940785015
2012-06-29,40543.29312855517
2012-07-02,40665.429426738185
2012-07-03,40933.533495920405
2012-07-05,40748.839581594875
2012-07-06,40361.57814833168
2012-07-09,40310.93626859726
2012-07-10,39959.422044558356
2012-07-11,39965.3799127624
2012-07-12,39771.749196130804
2012-07-13,40439.03043498432
2012-07-16,40343.704543719534
2012-07-17,40620.74541520783
2012-07-18,40921.617759512315
2012-07-19,41028.85938718519
2012-07-20,40653.513690330095
2012-07-23,40242.420784250695
2012-07-24,39896.864428415836
2012-07-25,39905.80123072191
2012-07-26,40564.14566726934
2012-07-27,41311.85812687752
2012-07-30,41311.85812687752
2012-07-31,41022.90151898114
2012-08-01,40987.154309756836
2012-08-02,40704.1555700645
2012-08-03,41511.44671171317
2012-08-06,41591.87793246783
2012-08-07,41800.403319609555
2012-08-08,41851.04519934398
2012-08-09,41886.792408568275
2012-08-10,41955.30789291485
2012-08-13,41934.45535420067
2012-08-14,41940.41322240471
2012-08-15,41988.07616803711
2012-08-16,42297.885314647676
2012-08-17,42354.485062586136
2012-08-20,42357.46399668815
2012-08-21,42229.36983030109
2012-08-22,42247.24343491324
2012-08-23,41901.68707907838
2012-08-24,42154.89647775047
2012-08-27,42163.83328005655
2012-08-28,42122.12820262821
2012-08-29,42154.89647775047
2012-08-30,41851.04519934397
2012-08-31,42050.63378417961
2012-09-04,42011.907640853286
2012-09-05,41976.16043162899
2012-09-06,42828.135584808035
2012-09-07,42994.955894521416
2012-09-10,42750.683298155396
2012-09-11,42869.840662236384
2012-09-12,43012.829499133564
2012-09-13,43668.195001578984
2012-09-14,43861.825718210595
2012-09-17,43712.87901310937
2012-09-18,43677.13180388507
2012-09-19,43700.963276701266
2012-09-20,43703.942210803296
2012-09-21,43453.711746233224
2012-09-24,43388.175195988675
2012-09-25,42926.44041017486
2012-09-26,42685.14674791086
2012-09-27,43087.30285168417
2012-09-28,42887.714266848525
2012-10-01,43000.91376272545
2012-10-02,43045.59777425583
2012-10-03,43221.35488627528
2012-10-04,43531.16403288584
2012-10-05,43534.14296698786
2012-10-08,43385.19626188663
2012-10-09,42956.2297511951
2012-10-10,42682.16781380883
2012-10-11,42705.99928662503
2012-10-12,42565.98938382987
2012-10-15,42920.48254197081
2012-10-16,43355.40692086639
2012-10-17,43552.01657160002
2012-10-18,43438.81707572309
2012-10-19,42714.93608893111
2012-10-22,42720.893957135166
2012-10-23,42128.086070832265
2012-10-24,42008.92870675129
2012-10-25,42131.0650049343
2012-10-26,42107.23353211811
2012-10-31,42107.23353211811
2012-11-01,42548.115779217755
2012-11-02,42169.79114826063
2012-11-05,42256.18023721934
2012-11-06,42586.841922544074
2012-11-07,41621.6672734881
2012-11-08,41121.206344347964
2012-11-09,41156.95355357226
2012-11-12,41189.721828694535
2012-11-13,41046.73299179734
2012-11-14,40492.651248820766
2012-11-15,40424.135764474195
2012-11-16,40623.72434930985
2012-11-19,41445.91016146865
2012-11-20,41463.7837660808
2012-11-21,41541.23605273344
2012-11-23,42107.233532118116
2012-11-26,42017.86550905738
2012-11-27,41803.38225371161
2012-11-28,42140.00180724039
2012-11-29,42336.61145797402
2012-11-30,42345.54826028008
2012-12-03,42137.02287313835
2012-12-04,42077.44419109786
2012-12-05,42151.91754364847
2012-12-06,42294.906380545646
2012-12-07,42423.000546932715
2012-12-10,42440.874151544864
2012-12-11,42729.83075944125
2012-12-12,42750.68329815542
2012-12-13,42488.53709717725
2012-12-14,42330.65358976994
2012-12-17,42828.13558480806
2012-12-18,43304.76504113199
2012-12-19,42983.04015811333
2012-12-20,43230.291688581376
2012-12-21,42536.20004280963
2012-12-24,42405.126942320545
2012-12-26,42226.39089619907
2012-12-27,42169.79114826061
2012-12-28,41714.014230650835
2012-12-31,42423.00054693269
2013-01-02,43510.311494171685
2013-01-03,43412.00666880487
2013-01-04,43602.65845133444
2013-01-07,43483.50108725345
2013-01-08,43358.38585496842
2013-01-09,43468.60641674332
2013-01-10,43814.16277257818
2013-01-11,43811.18383847615
2013-01-14,43781.3944974559
